ts,token,holder,top10,h11_20,h21_40,kalan,holder_guncel,dev_yuzde,dev_adres,mint_yetki,freeze_yetki,honeypot,gt_skor,s_pool,s_islem,s_olusum,s_bilgi,s_holder,gt_dogrulu,kategori,twitter,telegram,n_web
1789950573,27pbcjz2K3u1HKcoaigftSJNEga8w5zxDvmQNK46YnkP,315,33.0693,13.5715,15.772,37.5872,2026-09-21T00:17:59Z,0.0,mAQdwbg2EUGLgTfCV6Ts6S3PNFSiUW7pCwo1341p5FS,no,no,unknown,41.225974025974025,54.286,64.0,0.0,40.0,46.25,False,,,,1
1789950597,5heeeJwrcD4UYWJmC58DqGo2u2z3JxH6atBaURxdFUxx,,,,,,,0.0,6ThPRwvLj7u8uvthQUrTUCKqiTh5fH1XaBbV5greiYqJ,no,no,unknown,21.818181818181817,28.571,0.0,0.0,60.0,31.25,False,,Zip227,,1
1789950622,AZqyntGj5bVF6vQDa2uCU4jKtLttqv3EMHrPyohupump,471,100.1919,0.0,0.0,-0.1919,2026-09-21T00:13:57Z,79.56,BsAwkSdRjbsh99DEW47XWNo6uYvQwF3AWjAy77JGt4wA,no,no,unknown,38.192207792207796,54.286,48.0,0.0,60.0,40.0,False,,Zip227,,1
1789950647,CRyks2GNSbty15FYiR6K64PRyPL8Kgyg2mLwkhxfzMKS,155,97.0468,0.689,0.7703,1.4939,2026-09-21T00:30:17Z,1.17,9Fn6817aCZ2xWdvWTeWbdhbaMk2kr4HHdYHGViWX4A9b,no,no,unknown,20.77922077922078,28.571,0.0,0.0,40.0,31.25,False,,Zip227,,0
1789950671,EaMaV84vdZnpVeG5P757eMTYsqWHDpFBnwhXdx4Apump,762,83.3087,1.9602,3.1934,11.5377,2026-09-21T00:22:02Z,3.48,8kZjWU3xR8m6SCB1iCYmJkaMcVPAWsNabqQuDa7w5efb,no,no,unknown,41.225974025974025,54.286,64.0,0.0,80.0,40.0,False,Pump Fun|Urban Dictionary,pumpstampsol,pumpstampsol,1
1789950696,FyCZNEuRYsmXqeMVeYX7jqPKsppezA3JEkygKLSxCoJv,608,39.572,10.2152,13.6236,36.5892,2026-09-21T00:27:15Z,0.0,gVDXhoGbePACvSqN7CZBtQXFW9eyJwsgudPEwSydAkx,no,no,unknown,43.30389610389611,54.286,64.0,0.0,40.0,52.5,False,,esotericpigeon/status/210182602633029660,,0
1789950720,HS4n9mxQKS9wFYeMxJL5wE8qNqnzusMwEP5bgbHb6XmL,,,,,,2026-09-21T00:28:53Z,18.99,CUHD83HYXZg1fEikw4LxC2wBMWHDT96DSQ4V54Gnoaa6,no,no,unknown,33.20519480519481,54.286,48.0,0.0,20.0,31.25,False,,,,0
1789950744,HWj2MojoFvgnNxPJMAeSezPwuzN5i2FnPvzA2Rhzpump,672,83.6758,2.573,3.6941,10.0571,2026-09-21T00:22:44Z,0.0,G5ftFcgF2y4tpdENaMUupw7GoumWJ8ExbTKLtk9iSHNF,no,no,unknown,40.187012987012984,54.286,64.0,0.0,60.0,40.0,False,Pump Fun,OnlyStampSol,,1
1789950769,KN3WR1YDN2McLzBCsyByBGVq42ypMfstiRGnFq9pump,49,77.6046,14.0955,7.3537,0.9462,2026-09-21T00:11:41Z,1.74,G3dR3oP9gbovyywqSzKy6WcjEjpY1yEdbggajVCiEcuv,no,no,unknown,31.875324675324677,42.857,64.0,0.0,60.0,25.0,False,Pump Fun,flyphilx,,1
1789950794,Wb33GwzjQLvvVhV2XB3YonQZQFM9zhXiU7AZB931Uts,2333,23.0503,11.381,12.9202,52.6485,2026-09-21T00:19:03Z,0.0,GbNaVYnDWkzkX6VfW9HtDT8rz5FzaezobFq2gVnEjs9N,no,no,unknown,50.49350649350649,65.714,100.0,0.0,20.0,53.75,False,Inu,,,0
1789950819,cfnBU3Jgt3mKEFiu6TknxU6kCMemycswVpH7DCppump,4082,13.02,2.1736,4.2277,80.5787,2026-09-21T00:24:24Z,0.0,2c3gAZpQzfhRfgP1gXqQg3BMwAN2ui7ui7AuzMq33RSg,no,no,unknown,47.87532467532468,54.286,64.0,0.0,80.0,60.0,False,Pump Fun|Animal,stampcat_sol,stampcat_sol,1
1789951952,2bZcHQh55uKt48xosQUV1phqUfqAVzW2ku7a5e7Spump,83,70.1098,9.4433,13.4189,7.028,2026-09-21T00:41:40Z,0.72,DjjXr2bKMLys2SLWgaQivLNBpfKsRz1JkVrcuUEc9oan,no,no,unknown,38.73246753246754,54.286,64.0,0.0,80.0,32.5,False,Pump Fun|Wojak,WojakPhilsol,WojakPhil,1
1789951977,3UbssJrbqTRSEwgsxbSVXWAmzruPHgdZHMKb8h3Gpump,,,,,,,0.0,GiMpCrbvPtGkojJcRT6c7sn3cV84UvdAm9jeDc2c9x3M,no,no,unknown,23.064935064935067,40.0,0.0,0.0,20.0,31.25,False,Pump Fun,,,0
1789952001,5X3TcdW9AP8SetedLJhUEdtE2twnhZSPyXKg6wzTJti2,,,,,,,,,,,unknown,17.662337662337663,57.143,0.0,0.0,20.0,0.0,False,,,,0
1789952026,8jiYr3g4TqbXnv9kAcuwHtkJbBK7thpaFyd6RUajeR1f,984,35.551,11.2546,13.99,39.2044,2026-09-21T00:40:19Z,0.0,5NBJJUjiLZSz8rc3YRumPK4hvCFVhN9QpqJqkNuLHT1K,no,no,unknown,42.59740259740259,40.0,100.0,0.0,60.0,46.25,False,Dog|Animal,0xVamonos/status/2101820741540778206,,1
1789952050,CfazX2UkF6LTDEPKtnHGHJJcLsL3ePRxAtq1SFoBpump,114,90.6078,4.3549,4.3678,0.6695,2026-09-21T00:37:01Z,0.0,8Dgai48avwEKqYPeVe7mMTnnHg5EowPJ7NVujNLcaWVR,no,no,unknown,39.8961038961039,42.857,80.0,0.0,80.0,40.0,False,Pump Fun,Toxinjak,Toxinjak,1
1789952075,vBoQMaahacLRgn9D1y1DcChW3rNwnkq36bM1sDEpump,177,100.2963,0.0099,0.0008,-0.307,2026-09-21T00:47:06Z,79.67,Bhr6NmnkPgQjZ6gRVJcydn3pxBGFjd257x4aM2RF63w6,no,no,unknown,39.522077922077926,65.714,32.0,0.0,60.0,40.0,False,,nvidia,,1
1789953676,3EAX8K22K3P3Z8JGUcuPbuwtQTcf5ddURo2LdGq2cryp,108,72.8902,11.733,10.0033,5.3735,2026-09-21T00:54:13Z,0.06,HPjJ1AwVbvGy3hZxQrovkZLz7cryk6C3XHBZZv1DpNkN,no,no,unknown,38.94025974025975,42.857,64.0,0.0,60.0,46.25,False,Pump Fun,usecryptox,,1
1789953701,A9AVBXj8C7aNdbTqrGfUTqGTmagA8cRxo4PrgC796cV5,87,57.5717,16.2192,17.3957,8.8134,2026-09-20T22:57:13Z,0.0,GyuKsM8MoeDdYdZevH17oNfShc4SYWDeWkLqA17c6BR9,no,no,unknown,37.6935064935065,54.286,64.0,0.0,20.0,38.75,False,,,,0
1789953726,BE7jBStF5RcCCVRZY13QriCxnVcok5go8eZBjpicDFXy,46,99.8081,0.185,0.006,0.0009,2026-09-21T01:17:22Z,2.02,BvP3kQXqk99Y8uFG8hGiokrQywyirmjDcNSn7dpcSRYr,no,no,unknown,25.807792207792208,28.571,32.0,0.0,20.0,37.5,False,Pump Fun,,,0
