token,ilk_kaynak,kaynak,ilk,pair,son_snap,son_info,son_trade,olu_say,yok_say,durum
9fnxwniorw1n6aoCJWjPVMXND981qdJanb2Tw5mWpump,profil,profil,1789108929,BVPprVYcE56Scndc98bQcoYwuz4tHmbg4cC1HyvCtyU,1789150934,1789109669,1789130980,0,0,aktif
HunmXDXMNQYVoDnUL6PNnSYEtFaTZA2WzGh1HJTW7aoV,boost+profil+trend,boost+profil+trend,1789108929,HX6nX5hd143EuHnvb5n7iTSuEBsEx4k9Ne6zyCYBbRMi,1789150934,1789109669,1789134349,0,0,aktif
2bRoY87nsBq84TTKJKFD5gYxVLPhrTPKK9MaheSLCCLg,profil,profil,1789108929,4UzewNYxrvNzATKiSDXjynL9krknGX4vzUxbnj7WtCBw,1789150934,1789109669,1789148590,0,0,aktif
8DH3CJvpVekUwkmjnkonYTnXncKkvqPfLeVsDQGMpump,boost,boost,1789108929,DQ8PWaGPsVz487jxVLJjiEqqkSjWcxdsqBuuQpSu7twK,1789150934,1789109669,1789148590,0,0,aktif
9wajV6qL342kpEaV3J2WXWexeajFFvJVcBXXSLebpump,boost,boost,1789108929,FLdXSUNPdz79n5XZeyCpKYekpgEKubPNv6uoo5hKhNJt,1789150934,1789109669,1789130980,0,0,aktif
3XQZDtpn5QisVxcvB4sAReoknWnooU7yM4YCQtj45nqp,boost,boost,1789108929,85aGuq5zEUUU6n16FbRLHBA8Y2GpN1rXnr5RZLgnsZmq,1789150934,1789108929,1789148590,0,0,aktif
HEhns9R3D8W4Ls12fjECUEnfPntABqvhTQqc7YYxpump,boost+topboost,boost+topboost,1789108929,GcBQeSEPdnN3hBdB7ZnviVmPsogE5A4JeRDPHYQ6wVxB,1789150934,1789109669,1789132811,0,0,aktif
JD23tFDPhxyKX53w5dE1SaMFgYAFywGjiCsVn8CbPou6,boost,boost,1789108929,8SVjFZ4dFuYkpc6nrhz9Te4rWBxmMk25nTasSSGG52dC,1789150934,1789111205,1789132811,0,0,aktif
AaEhFTX4naHSWSXz9TVe5QgLbtSLT8ZqYJGZzDDcoroh,boost+trend,boost+trend,1789108929,BdFK8v9bVSe9pSXSdGZfL4pzjRpeSyfrkePGiM1cZEdt,1789150934,1789109669,1789130980,0,0,aktif
GYHPVwni3ucwizy9BM4TzTMw3PtSgxm5RRYvL8Ecpump,topboost,topboost,1789108929,7x1xReLV6ssLcouvY8uidYwHBBYkBFxqecdzPSmaswcJ,1789150934,1789109669,1789132811,0,0,aktif
2YhZUBBVxoDAEtXMhkRjHvAHvkDibyxN3ABHQ9Sspump,topboost,topboost,1789108929,BzZFqwcoATKE8KAXNsoVJsxkUdUVAnvGNsGUuizcFv2C,1789150934,1789108929,1789148590,0,0,aktif
EpEfnZxQyiBXppSKi8sncc8w4corn1UJbF9G91fQpump,reklam+topboost,reklam+topboost+trend,1789108929,Bd4wKg3xEBKJ4Xrw8skXMmJ4W65gk3x8yd7AovuBJisZ,1789150934,1789109669,1789132811,0,0,aktif
